# index, _pos
421,"array([ 148.43230036, -129.75264698])"
422,"array([ 125.29827532, -111.40504527])"
423,"array([ 138.45210341, -136.84350807])"
424,"array([ 133.25589265, -117.49312505])"
425,"array([ 143.86165889, -132.52971995])"
426,"array([ 142.70350121, -137.22559916])"
427,"array([ 140.77203592, -133.6513936 ])"
428,"array([ 145.03911219, -142.01308011])"
429,"array([ 156.73490649, -134.40719444])"
430,"array([ 153.2876822 , -140.94193399])"
431,"array([ 145.98817528, -123.92912123])"
432,"array([ 147.7485201 , -143.06450836])"
433,"array([ 155.93971068, -145.17503569])"
434,"array([ 128.37540666, -117.80519808])"
435,"array([ 141.13425006, -160.39844527])"
436,"array([ 144.58414259, -134.07390318])"
437,"array([ 145.81091181, -132.36997159])"
438,"array([ 137.89092646, -145.91939406])"
439,"array([ 133.39989354, -149.4801251 ])"
440,"array([ 132.75463571, -124.48123334])"
441,"array([ 143.83500875, -110.64254757])"
442,"array([ 148.69152236, -109.17459053])"
443,"array([ 146.7913039 , -116.17106938])"
444,"array([ 153.15982466, -143.26281465])"
445,"array([ 144.53716307, -140.19669288])"
446,"array([ 150.88824231, -135.21297758])"
447,"array([ 115.08836299, -154.40016069])"
448,"array([ 129.86680189, -113.84169666])"
449,"array([ 153.82450254, -132.28663723])"
450,"array([ 126.54193455, -115.15145289])"
451,"array([ 144.25985911, -134.80655234])"
452,"array([ 131.50635404, -118.60133765])"
453,"array([ 134.17868875, -118.5678415 ])"
454,"array([ 139.09729301, -130.57713949])"
455,"array([ 133.99224339, -121.20740644])"
456,"array([ 145.52984303, -134.01405041])"
457,"array([ 156.65194528, -126.03409905])"
458,"array([ 153.85475649, -125.79536165])"
459,"array([ 141.19960767, -133.25793767])"
460,"array([ 144.02365377, -148.9328005 ])"
461,"array([ 148.94960141, -104.94697296])"
462,"array([ 141.28144918, -128.10513539])"
463,"array([ 133.12581561, -123.5065398 ])"
464,"array([ 134.08116265, -117.81066947])"
465,"array([ 132.52079987, -116.79628278])"
